x,y,set
10.00,8.04,1
8.00,6.95,1
13.00,7.58,1
9.00,8.81,1
11.00,8.33,1
14.00,9.96,1
6.00,7.24,1
4.00,4.26,1
12.00,10.84,1
7.00,4.82,1
5.00,5.68,1
10.00,9.14,2
8.00,8.14,2
13.00,8.74,2
9.00,8.77,2
11.00,9.26,2
14.00,8.10,2
6.00,6.13,2
4.00,3.10,2
12.00,9.13,2
7.00,7.26,2
5.00,4.74,2
10.00,7.46,3
8.00,6.77,3
13.00,12.74,3
9.00,7.11,3
11.00,7.81,3
14.00,8.84,3
6.00,6.08,3
4.00,5.39,3
12.00,8.15,3
7.00,6.42,3
5.00,5.73,3
8.00,6.58,4
8.00,5.76,4
8.00,7.71,4
8.00,8.84,4
8.00,8.47,4
8.00,7.04,4
8.00,5.25,4
19.00,12.50,4
8.00,5.56,4
8.00,7.91,4
8.00,6.89,4
