"year","month","day","origin","dest","tailnum","carrier","temp","dep_delay","arr_delay","air_time","seats"
"2013","2","23","JFK","LAX","N622VA","VX","","-3","15","356","182"
"2013","2","23","JFK","LAX","N335AA","AA","","4","-4","334","255"
"2013","2","23","JFK","LAX","N709TW","DL","","-5","10","344","178"
"2013","2","23","JFK","LAX","N329AA","AA","","-4","13","349","255"
"2013","2","23","JFK","LAX","N338AA","AA","","-4","11","363","255"
"2013","2","23","JFK","LAX","N560UA","UA","","-7","-11","337","178"
"2013","2","23","JFK","LAX","N705TW","DL","","-4","-17","342","178"
"2013","2","23","EWR","LAX","N3JFAA","AA","39.3725","-4","-22","344",""
"2013","2","23","JFK","LAX","N336AA","AA","","-3","-8","347","255"
"2013","2","23","JFK","LAX","N807JB","B6","","-4","0","352","200"
"2013","2","23","JFK","LAX","N718TW","DL","","3","10","341","178"
"2013","2","23","JFK","LAX","N319AA","AA","","-3","17","356","255"
"2013","2","23","EWR","LAX","N13110","UA","39.3725","5","-2","337","178"
"2013","2","23","JFK","LAX","N775JB","B6","","-3","8","346","200"
"2013","2","23","EWR","LAX","N37263","UA","39.3725","9","-2","340","149"
"2013","2","23","JFK","LAX","N17126","UA","","1","17","356","178"
"2013","2","23","JFK","LAX","N717TW","DL","","-7","-9","350","178"
"2013","2","23","EWR","LAX","N57855","UA","39.3725","14","6","336","275"
"2013","2","23","EWR","LAX","N39423","UA","39.3725","1","1","351","191"
"2013","2","23","JFK","LAX","N624VA","VX","","3","-5","359","182"
"2013","2","23","JFK","LAX","N554UA","UA","","86","114","339","178"
"2013","2","23","JFK","LAX","N637VA","VX","","-5","11","349","182"
"2013","2","23","JFK","LAX","N718TW","DL","","-3","-34","331","178"
"2013","2","23","JFK","LAX","N327AA","AA","","0","1","351","255"
"2013","2","23","JFK","LAX","N510UA","UA","","-2","7","342","178"
"2013","2","23","JFK","LAX","N502UA","UA","","9","13","357","178"
"2013","2","23","JFK","LAX","N637JB","B6","","-2","46","354","200"
"2013","2","23","JFK","LAX","N629VA","VX","","28","25","344","182"
"2013","2","23","JFK","LAX","N328AA","AA","","-6","18","357","255"
"2013","2","23","JFK","LAX","N323AA","AA","","-5","20","364","255"
"2013","2","23","JFK","LAX","N632VA","VX","","-7","-13","358","182"
"2013","2","23","EWR","LAX","N17139","UA","39.3725","55","47","335","178"
"2013","2","24","JFK","LAX","N560UA","UA","","-2","-22","335","178"
"2013","2","24","JFK","LAX","N319AA","AA","","-2","-13","335","255"
"2013","2","24","EWR","LAX","N528UA","UA","40.28","-2","-28","311","178"
"2013","2","24","JFK","LAX","N702TW","DL","","-3","-12","339","178"
"2013","2","24","JFK","LAX","N532UA","UA","","-3","13","335",""
"2013","2","24","EWR","LAX","N76504","UA","40.28","4","-19","337","149"
"2013","2","24","JFK","LAX","N323AA","AA","","-3","4","339","255"
"2013","2","24","JFK","LAX","N17139","UA","","-4","-16","329","178"
"2013","2","24","JFK","LAX","N642VA","VX","","-4","-13","340","182"
"2013","2","24","JFK","LAX","N807JB","B6","","-7","-20","330","200"
"2013","2","24","JFK","LAX","N705TW","DL","","0","-10","326","178"
"2013","2","24","EWR","LAX","N14102","UA","40.28","-4","-27","325","178"
"2013","2","24","EWR","LAX","N75854","UA","40.28","-1","-25","330","275"
"2013","2","24","JFK","LAX","N639VA","VX","","-1","-21","339","182"
"2013","2","24","JFK","LAX","N706TW","DL","","-3","-5","332","178"
"2013","2","24","JFK","LAX","N621VA","VX","","70","47","338","182"
"2013","2","24","JFK","LAX","N336AA","AA","","149","121","334","255"
"2013","2","24","JFK","LAX","N332AA","AA","","-4","-23","331","255"
"2013","2","24","JFK","LAX","N635VA","VX","","-5","-36","336","182"
"2013","2","24","EWR","LAX","N545UA","UA","40.28","31","14","317","178"
"2013","2","24","JFK","LAX","N508UA","UA","","-4","-36","306","178"
"2013","2","24","JFK","LAX","N324AA","AA","","-1","-11","335","255"
"2013","2","24","JFK","LAX","N723TW","DL","","0","-27","339","178"
"2013","2","24","JFK","LAX","N709TW","DL","","-7","-32","338","178"
"2013","2","24","EWR","LAX","N3FBAA","AA","40.28","-6","-8","338",""
"2013","2","24","JFK","LAX","N505UA","UA","","-4","-25","320","178"
"2013","2","24","JFK","LAX","N779JB","B6","","-4","-13","335","200"
"2013","2","24","JFK","LAX","N796JB","B6","","5","-7","335","200"
"2013","2","24","EWR","LAX","N33103","UA","40.28","8","-9","325","178"
"2013","2","24","JFK","LAX","N327AA","AA","","0","-8","335","255"
"2013","2","24","JFK","LAX","N658JB","B6","","0","-12","333","200"
"2013","2","24","JFK","LAX","N839VA","VX","","-5","-24","339","182"
"2013","2","24","JFK","LAX","N328AA","AA","","-7","-16","341","255"
"2013","2","24","JFK","LAX","N717TW","DL","","-5","-20","332","178"
"2013","2","24","JFK","LAX","N336AA","AA","","-2","-31","328","255"
"2013","2","24","JFK","LAX","N319AA","AA","","50","31","334","255"
"2013","2","25","JFK","LAX","N591JB","B6","","44","47","348","200"
"2013","2","25","EWR","LAX","N573UA","UA","37.85","2","-2","328","178"
"2013","2","25","JFK","LAX","N332AA","AA","","-6","-8","348","255"
"2013","2","25","JFK","LAX","N332AA","AA","","-7","-44","332","255"
"2013","2","25","EWR","LAX","N57852","UA","37.85","1","-10","335","275"
"2013","2","25","JFK","LAX","N796JB","B6","","-3","-18","336","200"
"2013","2","25","JFK","LAX","N12109","UA","","-4","-15","338","178"
"2013","2","25","JFK","LAX","N323AA","AA","","-9","3","348","255"
"2013","2","25","JFK","LAX","N723TW","DL","","-9","-22","340","178"
"2013","2","25","JFK","LAX","N717TW","DL","","-4","-29","341","178"
"2013","2","25","JFK","LAX","N535JB","B6","","-5","-32","334","200"
"2013","2","25","EWR","LAX","N3GSAA","AA","37.85","-12","-25","335",""
"2013","2","25","JFK","LAX","N319AA","AA","","0","-19","332","255"
"2013","2","25","JFK","LAX","N512UA","UA","","-8","-20","343","178"
"2013","2","25","JFK","LAX","N324AA","AA","","-4","-29","334","255"
"2013","2","25","EWR","LAX","N33132","UA","37.85","2","-7","334","178"
"2013","2","25","JFK","LAX","N722TW","DL","","-8","-43","320","178"
"2013","2","25","JFK","LAX","N328AA","AA","","8","-15","329","255"
"2013","2","25","JFK","LAX","N710TW","DL","","-4","-16","350","178"
"2013","2","25","EWR","LAX","N546UA","UA","37.85","23","40","334","178"
"2013","2","25","JFK","LAX","N329AA","AA","","-6","-17","342","255"
"2013","2","25","JFK","LAX","N727TW","DL","","-4","-30","342","178"
"2013","2","25","JFK","LAX","N510UA","UA","","-5","14","341","178"
"2013","2","25","JFK","LAX","N505UA","UA","","-7","1","344","178"
"2013","2","25","JFK","LAX","N709TW","DL","","-6","-14","341","178"
"2013","2","25","JFK","LAX","N642VA","VX","","14","-18","344","182"
"2013","2","25","JFK","LAX","N509JB","B6","","-1","-25","331","200"
"2013","2","25","JFK","LAX","N508UA","UA","","-6","-11","340","178"
"2013","2","25","JFK","LAX","N635VA","VX","","12","-8","338","182"
"2013","2","25","JFK","LAX","N638VA","VX","","-4","-27","342","182"
"2013","2","25","JFK","LAX","N327AA","AA","","13","20","350","255"
"2013","2","25","JFK","LAX","N634VA","VX","","3","-12","358","182"
"2013","2","25","JFK","LAX","N702TW","DL","","-4","-44","333","178"
"2013","2","25","JFK","LAX","N338AA","AA","","-3","-21","334","255"
"2013","2","25","JFK","LAX","N629VA","VX","","10","-11","349","182"
"2013","2","25","JFK","LAX","N17139","UA","","-2","-13","341","178"
"2013","2","25","EWR","LAX","N35204","UA","37.85","2","-15","335","149"
"2013","2","25","EWR","LAX","N18119","UA","37.85","-4","5","346","178"
"2013","2","26","JFK","LAX","N502UA","UA","","-7","-32","311","178"
"2013","2","26","EWR","LAX","N14118","UA","39.4475","-1","-35","309","178"
"2013","2","26","JFK","LAX","N18119","UA","","4","-10","324","178"
"2013","2","26","JFK","LAX","N512UA","UA","","6","29","349","178"
"2013","2","26","JFK","LAX","N523JB","B6","","11","-34","313","200"
"2013","2","26","JFK","LAX","N727TW","DL","","-4","-28","327","178"
"2013","2","26","JFK","LAX","N629VA","VX","","-5","-33","338","182"
"2013","2","26","JFK","LAX","N329AA","AA","","-11","-35","332","255"
"2013","2","26","JFK","LAX","N717TW","DL","","-8","-10","339","178"
"2013","2","26","EWR","LAX","N3FAAA","AA","39.4475","-6","-60","313",""
"2013","2","26","JFK","LAX","N336AA","AA","","1","-25","330","255"
"2013","2","26","JFK","LAX","N809JB","B6","","1","-30","316","200"
"2013","2","26","JFK","LAX","N713TW","DL","","-5","-12","322","178"
"2013","2","26","JFK","LAX","N505UA","UA","","0","-30","323","178"
