Borough,Grade,Year,Category,Number Tested,Mean
BRONX,3,2013,Asian,586,313
BRONX,3,2013,Black,4474,284
BRONX,3,2013,Hispanic,9961,285
BRONX,3,2013,White,707,304
BRONX,3,2014,Asian,618,315
BRONX,3,2014,Black,4419,286
BRONX,3,2014,Hispanic,10061,288
BRONX,3,2014,White,721,309
BRONX,4,2013,Asian,624,316
BRONX,4,2013,Black,4326,283
BRONX,4,2013,Hispanic,9778,285
BRONX,4,2013,White,659,305
BRONX,4,2014,Asian,579,320
BRONX,4,2014,Black,4153,288
BRONX,4,2014,Hispanic,9513,288
BRONX,4,2014,White,683,308
BRONX,5,2013,Asian,601,315
BRONX,5,2013,Black,4293,285
BRONX,5,2013,Hispanic,9574,284
BRONX,5,2013,White,654,303
BRONX,5,2014,Asian,630,323
BRONX,5,2014,Black,4080,292
BRONX,5,2014,Hispanic,9391,291
BRONX,5,2014,White,640,312
BRONX,6,2013,Asian,606,314
BRONX,6,2013,Black,4360,281
BRONX,6,2013,Hispanic,9662,282
BRONX,6,2013,White,599,302
BRONX,6,2014,Asian,580,318
BRONX,6,2014,Black,4048,283
BRONX,6,2014,Hispanic,9203,283
BRONX,6,2014,White,589,304
BRONX,7,2013,Asian,628,311
BRONX,7,2013,Black,4484,279
BRONX,7,2013,Hispanic,9729,281
BRONX,7,2013,White,600,301
BRONX,7,2014,Asian,616,314
BRONX,7,2014,Black,4173,285
BRONX,7,2014,Hispanic,9334,285
BRONX,7,2014,White,573,301
BRONX,8,2013,Asian,544,310
BRONX,8,2013,Black,4539,280
BRONX,8,2013,Hispanic,9815,282
BRONX,8,2013,White,561,301
BRONX,8,2014,Asian,448,303
BRONX,8,2014,Black,3896,280
BRONX,8,2014,Hispanic,8741,281
BRONX,8,2014,White,476,293
BROOKLYN,3,2013,Asian,3454,320
BROOKLYN,3,2013,Black,7778,287
BROOKLYN,3,2013,Hispanic,6431,291
BROOKLYN,3,2013,White,3963,316
BROOKLYN,3,2014,Asian,3476,323
BROOKLYN,3,2014,Black,7160,289
BROOKLYN,3,2014,Hispanic,6437,294
BROOKLYN,3,2014,White,3844,321
BROOKLYN,4,2013,Asian,3253,322
BROOKLYN,4,2013,Black,7800,288
BROOKLYN,4,2013,Hispanic,6141,291
BROOKLYN,4,2013,White,3844,317
BROOKLYN,4,2014,Asian,3465,331
BROOKLYN,4,2014,Black,7159,288
BROOKLYN,4,2014,Hispanic,6168,294
BROOKLYN,4,2014,White,3762,323
BROOKLYN,5,2013,Asian,3132,325
BROOKLYN,5,2013,Black,7790,289
BROOKLYN,5,2013,Hispanic,6189,291
BROOKLYN,5,2013,White,3479,317
BROOKLYN,5,2014,Asian,3228,333
BROOKLYN,5,2014,Black,6743,295
BROOKLYN,5,2014,Hispanic,5843,299
BROOKLYN,5,2014,White,3570,326
BROOKLYN,6,2013,Asian,3098,326
BROOKLYN,6,2013,Black,8170,286
BROOKLYN,6,2013,Hispanic,5875,287
BROOKLYN,6,2013,White,3244,317
BROOKLYN,6,2014,Asian,3070,331
BROOKLYN,6,2014,Black,7391,287
BROOKLYN,6,2014,Hispanic,5856,290
BROOKLYN,6,2014,White,3233,322
BROOKLYN,7,2013,Asian,3207,326
BROOKLYN,7,2013,Black,8648,284
BROOKLYN,7,2013,Hispanic,6021,287
BROOKLYN,7,2013,White,3163,315
BROOKLYN,7,2014,Asian,3094,331
BROOKLYN,7,2014,Black,7772,288
BROOKLYN,7,2014,Hispanic,5720,291
