School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 015 ROBERTO CLEMENTE,3,2013,Female,12,285
P.S. 015 ROBERTO CLEMENTE,3,2013,Male,15,292
P.S. 015 ROBERTO CLEMENTE,3,2014,Female,13,282
P.S. 015 ROBERTO CLEMENTE,3,2014,Male,5,s
P.S. 015 ROBERTO CLEMENTE,4,2013,Female,12,283
P.S. 015 ROBERTO CLEMENTE,4,2013,Male,8,269
P.S. 015 ROBERTO CLEMENTE,4,2014,Female,9,283
P.S. 015 ROBERTO CLEMENTE,4,2014,Male,15,284
P.S. 015 ROBERTO CLEMENTE,5,2013,Female,11,287
P.S. 015 ROBERTO CLEMENTE,5,2013,Male,13,282
P.S. 015 ROBERTO CLEMENTE,5,2014,Female,12,264
P.S. 015 ROBERTO CLEMENTE,5,2014,Male,9,274
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Female,35,285
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Male,36,283
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Female,34,276
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Male,29,283
P.S. 019 ASHER LEVY,3,2013,Female,17,309
P.S. 019 ASHER LEVY,3,2013,Male,18,297
P.S. 019 ASHER LEVY,3,2014,Female,25,310
P.S. 019 ASHER LEVY,3,2014,Male,10,288
P.S. 019 ASHER LEVY,4,2013,Female,18,294
P.S. 019 ASHER LEVY,4,2013,Male,23,276
P.S. 019 ASHER LEVY,4,2014,Female,16,320
P.S. 019 ASHER LEVY,4,2014,Male,18,299
P.S. 019 ASHER LEVY,5,2013,Female,18,307
P.S. 019 ASHER LEVY,5,2013,Male,18,300
P.S. 019 ASHER LEVY,5,2014,Female,14,302
P.S. 019 ASHER LEVY,5,2014,Male,20,284
P.S. 019 ASHER LEVY,All Grades,2013,Female,53,303
P.S. 019 ASHER LEVY,All Grades,2013,Male,59,290
P.S. 019 ASHER LEVY,All Grades,2014,Female,55,311
P.S. 019 ASHER LEVY,All Grades,2014,Male,48,290
P.S. 020 ANNA SILVER,3,2013,Female,33,304
P.S. 020 ANNA SILVER,3,2013,Male,44,288
P.S. 020 ANNA SILVER,3,2014,Female,49,284
P.S. 020 ANNA SILVER,3,2014,Male,46,274
P.S. 020 ANNA SILVER,4,2013,Female,35,299
P.S. 020 ANNA SILVER,4,2013,Male,39,290
P.S. 020 ANNA SILVER,4,2014,Female,30,307
P.S. 020 ANNA SILVER,4,2014,Male,35,295
P.S. 020 ANNA SILVER,5,2013,Female,33,289
P.S. 020 ANNA SILVER,5,2013,Male,43,294
P.S. 020 ANNA SILVER,5,2014,Female,32,297
P.S. 020 ANNA SILVER,5,2014,Male,37,291
P.S. 020 ANNA SILVER,All Grades,2013,Female,101,298
P.S. 020 ANNA SILVER,All Grades,2013,Male,126,291
P.S. 020 ANNA SILVER,All Grades,2014,Female,111,294
P.S. 020 ANNA SILVER,All Grades,2014,Male,118,286
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Female,17,300
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Male,21,291
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Female,15,280
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Male,17,262
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Female,26,304
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Male,20,303
