School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 015 ROBERTO CLEMENTE,3,2013,Asian,1,s
P.S. 015 ROBERTO CLEMENTE,3,2013,Black,11,280
P.S. 015 ROBERTO CLEMENTE,3,2013,Hispanic,15,275
P.S. 015 ROBERTO CLEMENTE,3,2014,Asian,1,s
P.S. 015 ROBERTO CLEMENTE,3,2014,Black,10,283
P.S. 015 ROBERTO CLEMENTE,3,2014,Hispanic,7,292
P.S. 015 ROBERTO CLEMENTE,4,2013,Asian,2,s
P.S. 015 ROBERTO CLEMENTE,4,2013,Black,8,264
P.S. 015 ROBERTO CLEMENTE,4,2013,Hispanic,10,283
P.S. 015 ROBERTO CLEMENTE,4,2014,Asian,1,s
P.S. 015 ROBERTO CLEMENTE,4,2014,Black,10,281
P.S. 015 ROBERTO CLEMENTE,4,2014,Hispanic,13,282
P.S. 015 ROBERTO CLEMENTE,5,2013,Asian,2,s
P.S. 015 ROBERTO CLEMENTE,5,2013,Black,9,270
P.S. 015 ROBERTO CLEMENTE,5,2013,Hispanic,12,273
P.S. 015 ROBERTO CLEMENTE,5,2013,White,1,s
P.S. 015 ROBERTO CLEMENTE,5,2014,Asian,2,s
P.S. 015 ROBERTO CLEMENTE,5,2014,Black,6,246
P.S. 015 ROBERTO CLEMENTE,5,2014,Hispanic,13,268
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Asian,5,s
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Black,28,272
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Hispanic,37,276
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,White,1,s
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Asian,4,s
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Black,26,273
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Hispanic,33,279
P.S. 019 ASHER LEVY,3,2013,Asian,4,s
P.S. 019 ASHER LEVY,3,2013,Black,9,298
P.S. 019 ASHER LEVY,3,2013,Hispanic,17,304
P.S. 019 ASHER LEVY,3,2013,White,5,s
P.S. 019 ASHER LEVY,3,2014,Asian,8,329
P.S. 019 ASHER LEVY,3,2014,Black,7,300
P.S. 019 ASHER LEVY,3,2014,Hispanic,16,304
P.S. 019 ASHER LEVY,3,2014,White,3,s
P.S. 019 ASHER LEVY,4,2013,Asian,5,s
P.S. 019 ASHER LEVY,4,2013,Black,9,282
P.S. 019 ASHER LEVY,4,2013,Hispanic,23,283
P.S. 019 ASHER LEVY,4,2013,White,3,s
P.S. 019 ASHER LEVY,4,2014,Asian,4,s
P.S. 019 ASHER LEVY,4,2014,Black,7,313
P.S. 019 ASHER LEVY,4,2014,Hispanic,16,305
P.S. 019 ASHER LEVY,4,2014,White,6,310
P.S. 019 ASHER LEVY,5,2013,Asian,4,s
P.S. 019 ASHER LEVY,5,2013,Black,13,300
P.S. 019 ASHER LEVY,5,2013,Hispanic,19,303
P.S. 019 ASHER LEVY,5,2014,Asian,4,s
P.S. 019 ASHER LEVY,5,2014,Black,8,283
P.S. 019 ASHER LEVY,5,2014,Hispanic,18,293
P.S. 019 ASHER LEVY,5,2014,White,3,s
P.S. 019 ASHER LEVY,All Grades,2013,Asian,13,332
P.S. 019 ASHER LEVY,All Grades,2013,Black,31,294
P.S. 019 ASHER LEVY,All Grades,2013,Hispanic,59,295
P.S. 019 ASHER LEVY,All Grades,2013,White,8,307
P.S. 019 ASHER LEVY,All Grades,2014,Asian,16,337
P.S. 019 ASHER LEVY,All Grades,2014,Black,22,298
P.S. 019 ASHER LEVY,All Grades,2014,Hispanic,50,301
P.S. 019 ASHER LEVY,All Grades,2014,White,12,318
P.S. 020 ANNA SILVER,3,2013,Asian,27,323
P.S. 020 ANNA SILVER,3,2013,Black,7,274
P.S. 020 ANNA SILVER,3,2013,Hispanic,44,293
P.S. 020 ANNA SILVER,3,2013,White,1,s
P.S. 020 ANNA SILVER,3,2014,Asian,43,316
P.S. 020 ANNA SILVER,3,2014,Black,11,257
P.S. 020 ANNA SILVER,3,2014,Hispanic,40,285
P.S. 020 ANNA SILVER,3,2014,White,3,s
P.S. 020 ANNA SILVER,4,2013,Asian,19,313
P.S. 020 ANNA SILVER,4,2013,Black,8,262
P.S. 020 ANNA SILVER,4,2013,Hispanic,46,291
P.S. 020 ANNA SILVER,4,2013,White,1,s
P.S. 020 ANNA SILVER,4,2014,Asian,23,332
P.S. 020 ANNA SILVER,4,2014,Black,5,s
P.S. 020 ANNA SILVER,4,2014,Hispanic,37,285
P.S. 020 ANNA SILVER,5,2013,Asian,18,309
P.S. 020 ANNA SILVER,5,2013,Black,10,274
P.S. 020 ANNA SILVER,5,2013,Hispanic,46,286
P.S. 020 ANNA SILVER,5,2013,White,1,s
P.S. 020 ANNA SILVER,5,2014,Asian,19,322
P.S. 020 ANNA SILVER,5,2014,Black,7,269
P.S. 020 ANNA SILVER,5,2014,Hispanic,41,292
P.S. 020 ANNA SILVER,5,2014,White,2,s
P.S. 020 ANNA SILVER,All Grades,2013,Asian,64,316
P.S. 020 ANNA SILVER,All Grades,2013,Black,25,270
P.S. 020 ANNA SILVER,All Grades,2013,Hispanic,136,290
P.S. 020 ANNA SILVER,All Grades,2013,White,3,s
P.S. 020 ANNA SILVER,All Grades,2014,Asian,85,322
P.S. 020 ANNA SILVER,All Grades,2014,Black,23,263
P.S. 020 ANNA SILVER,All Grades,2014,Hispanic,118,288
P.S. 020 ANNA SILVER,All Grades,2014,White,5,s
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Asian,5,s
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Black,9,276
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Hispanic,22,291
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Asian,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Black,8,280
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Hispanic,21,279
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,White,2,s
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Asian,2,s
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Black,10,303
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Hispanic,33,291
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,White,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Asian,4,s
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Black,11,284
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Hispanic,20,294
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,White,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Black,8,292
P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Hispanic,22,312
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Asian,2,s
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Black,8,311
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Hispanic,32,302
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,White,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Asian,5,s
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Black,15,306
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Hispanic,34,296
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,White,2,s
P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Black,14,276
P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Hispanic,27,304
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Asian,7,317
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Black,7,291
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Hispanic,32,298
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,White,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Asian,5,s
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Black,14,312
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Hispanic,35,296
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,White,2,s
P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,Asian,6,346
P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,Black,9,306
P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,Hispanic,29,295
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,Asian,6,339
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,Black,7,300
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,Hispanic,39,285
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,White,1,s
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Asian,25,334
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Black,58,297
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Hispanic,172,297
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,White,4,s
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Asian,18,343
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Black,62,293
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Hispanic,174,294
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,White,7,314
THE STAR ACADEMY - P.S.63,3,2013,Asian,1,s
THE STAR ACADEMY - P.S.63,3,2013,Black,5,s
THE STAR ACADEMY - P.S.63,3,2013,Hispanic,11,267
THE STAR ACADEMY - P.S.63,3,2013,White,2,s
THE STAR ACADEMY - P.S.63,3,2014,Asian,2,s
THE STAR ACADEMY - P.S.63,3,2014,Black,6,297
THE STAR ACADEMY - P.S.63,3,2014,Hispanic,10,312
