School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 015 ROBERTO CLEMENTE,3,2013,Female,12,274
P.S. 015 ROBERTO CLEMENTE,3,2013,Male,15,281
P.S. 015 ROBERTO CLEMENTE,3,2014,Female,13,280
P.S. 015 ROBERTO CLEMENTE,3,2014,Male,5,s
P.S. 015 ROBERTO CLEMENTE,4,2013,Female,12,269
P.S. 015 ROBERTO CLEMENTE,4,2013,Male,8,290
P.S. 015 ROBERTO CLEMENTE,4,2014,Female,9,285
P.S. 015 ROBERTO CLEMENTE,4,2014,Male,15,281
P.S. 015 ROBERTO CLEMENTE,5,2013,Female,11,271
P.S. 015 ROBERTO CLEMENTE,5,2013,Male,13,277
P.S. 015 ROBERTO CLEMENTE,5,2014,Female,12,256
P.S. 015 ROBERTO CLEMENTE,5,2014,Male,9,279
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Female,35,271
P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Male,36,281
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Female,34,273
P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Male,29,284
P.S. 019 ASHER LEVY,3,2013,Female,17,310
P.S. 019 ASHER LEVY,3,2013,Male,19,311
P.S. 019 ASHER LEVY,3,2014,Female,25,316
P.S. 019 ASHER LEVY,3,2014,Male,10,296
P.S. 019 ASHER LEVY,4,2013,Female,19,288
P.S. 019 ASHER LEVY,4,2013,Male,23,289
P.S. 019 ASHER LEVY,4,2014,Female,16,321
P.S. 019 ASHER LEVY,4,2014,Male,18,311
P.S. 019 ASHER LEVY,5,2013,Female,18,303
P.S. 019 ASHER LEVY,5,2013,Male,18,305
P.S. 019 ASHER LEVY,5,2014,Female,15,296
P.S. 019 ASHER LEVY,5,2014,Male,20,298
P.S. 019 ASHER LEVY,All Grades,2013,Female,54,300
P.S. 019 ASHER LEVY,All Grades,2013,Male,60,301
P.S. 019 ASHER LEVY,All Grades,2014,Female,56,312
P.S. 019 ASHER LEVY,All Grades,2014,Male,48,303
P.S. 020 ANNA SILVER,3,2013,Female,33,301
P.S. 020 ANNA SILVER,3,2013,Male,46,303
P.S. 020 ANNA SILVER,3,2014,Female,51,296
P.S. 020 ANNA SILVER,3,2014,Male,46,296
P.S. 020 ANNA SILVER,4,2013,Female,35,292
P.S. 020 ANNA SILVER,4,2013,Male,40,296
P.S. 020 ANNA SILVER,4,2014,Female,30,303
P.S. 020 ANNA SILVER,4,2014,Male,35,298
P.S. 020 ANNA SILVER,5,2013,Female,33,289
P.S. 020 ANNA SILVER,5,2013,Male,44,291
P.S. 020 ANNA SILVER,5,2014,Female,33,296
P.S. 020 ANNA SILVER,5,2014,Male,38,300
P.S. 020 ANNA SILVER,All Grades,2013,Female,101,294
P.S. 020 ANNA SILVER,All Grades,2013,Male,130,297
P.S. 020 ANNA SILVER,All Grades,2014,Female,114,298
P.S. 020 ANNA SILVER,All Grades,2014,Male,119,298
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Female,17,294
P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Male,22,291
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Female,15,293
P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Male,17,274
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Female,26,295
P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Male,20,301
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Female,15,297
P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Male,22,296
P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Female,17,303
P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Male,13,311
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Female,21,307
P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Male,22,309
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Female,32,306
P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Male,25,300
P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Female,26,293
P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Male,15,298
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Female,20,292
P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Male,28,305
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Female,30,308
P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Male,27,302
P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,Female,18,298
P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,Male,26,309
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,Female,27,290
P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,Male,27,297
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Female,130,298
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Male,134,302
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Female,134,298
P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Male,130,297
THE STAR ACADEMY - P.S.63,3,2013,Female,6,287
THE STAR ACADEMY - P.S.63,3,2013,Male,13,281
THE STAR ACADEMY - P.S.63,3,2014,Female,9,303
THE STAR ACADEMY - P.S.63,3,2014,Male,9,313
THE STAR ACADEMY - P.S.63,4,2013,Female,13,280
THE STAR ACADEMY - P.S.63,4,2013,Male,8,271
THE STAR ACADEMY - P.S.63,4,2014,Female,6,325
THE STAR ACADEMY - P.S.63,4,2014,Male,12,305
THE STAR ACADEMY - P.S.63,5,2013,Female,9,307
THE STAR ACADEMY - P.S.63,5,2013,Male,13,294
THE STAR ACADEMY - P.S.63,5,2014,Female,12,285
THE STAR ACADEMY - P.S.63,5,2014,Male,5,s
THE STAR ACADEMY - P.S.63,All Grades,2013,Female,28,290
THE STAR ACADEMY - P.S.63,All Grades,2013,Male,34,284
THE STAR ACADEMY - P.S.63,All Grades,2014,Female,27,300
THE STAR ACADEMY - P.S.63,All Grades,2014,Male,26,302
P.S. 064 ROBERT SIMON,3,2013,Female,14,269
P.S. 064 ROBERT SIMON,3,2013,Male,18,280
P.S. 064 ROBERT SIMON,3,2014,Female,19,300
P.S. 064 ROBERT SIMON,3,2014,Male,24,296
P.S. 064 ROBERT SIMON,4,2013,Female,23,278
P.S. 064 ROBERT SIMON,4,2013,Male,18,281
P.S. 064 ROBERT SIMON,4,2014,Female,15,289
P.S. 064 ROBERT SIMON,4,2014,Male,17,291
P.S. 064 ROBERT SIMON,5,2013,Female,22,293
P.S. 064 ROBERT SIMON,5,2013,Male,17,287
P.S. 064 ROBERT SIMON,5,2014,Female,20,296
P.S. 064 ROBERT SIMON,5,2014,Male,18,287
P.S. 064 ROBERT SIMON,All Grades,2013,Female,59,281
P.S. 064 ROBERT SIMON,All Grades,2013,Male,53,283
P.S. 064 ROBERT SIMON,All Grades,2014,Female,54,296
P.S. 064 ROBERT SIMON,All Grades,2014,Male,59,292
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Female,30,321
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Male,24,322
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Female,36,325
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Male,33,313
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Female,25,319
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Male,23,321
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Female,30,316
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Male,23,323
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Female,37,330
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Male,28,316
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Female,23,331
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Male,22,321
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Female,92,324
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Male,75,319
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Female,89,323
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Male,78,318
P.S. 134 HENRIETTA SZOLD,3,2013,Female,28,304
P.S. 134 HENRIETTA SZOLD,3,2013,Male,23,305
P.S. 134 HENRIETTA SZOLD,3,2014,Female,24,307
P.S. 134 HENRIETTA SZOLD,3,2014,Male,20,299
P.S. 134 HENRIETTA SZOLD,4,2013,Female,37,294
P.S. 134 HENRIETTA SZOLD,4,2013,Male,24,294
P.S. 134 HENRIETTA SZOLD,4,2014,Female,20,308
P.S. 134 HENRIETTA SZOLD,4,2014,Male,21,304
P.S. 134 HENRIETTA SZOLD,5,2013,Female,21,290
P.S. 134 HENRIETTA SZOLD,5,2013,Male,18,303
P.S. 134 HENRIETTA SZOLD,5,2014,Female,29,298
P.S. 134 HENRIETTA SZOLD,5,2014,Male,24,304
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Female,86,296
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Male,65,300
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Female,73,304
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Male,65,303
P.S. 137 JOHN L. BERNSTEIN,3,2013,Female,18,279
P.S. 137 JOHN L. BERNSTEIN,3,2013,Male,10,283
P.S. 137 JOHN L. BERNSTEIN,3,2014,Female,17,259
P.S. 137 JOHN L. BERNSTEIN,3,2014,Male,19,272
P.S. 137 JOHN L. BERNSTEIN,4,2013,Female,11,266
P.S. 137 JOHN L. BERNSTEIN,4,2013,Male,13,273
P.S. 137 JOHN L. BERNSTEIN,4,2014,Female,16,281
P.S. 137 JOHN L. BERNSTEIN,4,2014,Male,10,279
P.S. 137 JOHN L. BERNSTEIN,5,2013,Female,10,268
P.S. 137 JOHN L. BERNSTEIN,5,2013,Male,13,285
P.S. 137 JOHN L. BERNSTEIN,5,2014,Female,9,257
P.S. 137 JOHN L. BERNSTEIN,5,2014,Male,14,278
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Female,39,273
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Male,36,280
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Female,42,267
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Male,43,275
P.S. 140 NATHAN STRAUS,3,2013,Female,19,273
P.S. 140 NATHAN STRAUS,3,2013,Male,12,273
P.S. 140 NATHAN STRAUS,3,2014,Female,10,266
P.S. 140 NATHAN STRAUS,3,2014,Male,16,273
P.S. 140 NATHAN STRAUS,4,2013,Female,13,285
P.S. 140 NATHAN STRAUS,4,2013,Male,12,280
P.S. 140 NATHAN STRAUS,4,2014,Female,18,289
P.S. 140 NATHAN STRAUS,4,2014,Male,13,290
P.S. 140 NATHAN STRAUS,5,2013,Female,14,258
P.S. 140 NATHAN STRAUS,5,2013,Male,11,264
P.S. 140 NATHAN STRAUS,5,2014,Female,13,291
P.S. 140 NATHAN STRAUS,5,2014,Male,11,269
P.S. 140 NATHAN STRAUS,6,2013,Female,32,296
P.S. 140 NATHAN STRAUS,6,2013,Male,26,285
P.S. 140 NATHAN STRAUS,6,2014,Female,37,293
P.S. 140 NATHAN STRAUS,6,2014,Male,21,288
P.S. 140 NATHAN STRAUS,7,2013,Female,33,276
P.S. 140 NATHAN STRAUS,7,2013,Male,30,280
P.S. 140 NATHAN STRAUS,7,2014,Female,33,292
P.S. 140 NATHAN STRAUS,7,2014,Male,24,290
P.S. 140 NATHAN STRAUS,8,2013,Female,24,287
P.S. 140 NATHAN STRAUS,8,2013,Male,28,277
P.S. 140 NATHAN STRAUS,8,2014,Female,32,278
P.S. 140 NATHAN STRAUS,8,2014,Male,29,281
P.S. 140 NATHAN STRAUS,All Grades,2013,Female,135,281
P.S. 140 NATHAN STRAUS,All Grades,2013,Male,119,278
P.S. 140 NATHAN STRAUS,All Grades,2014,Female,143,287
P.S. 140 NATHAN STRAUS,All Grades,2014,Male,114,283
P.S. 142 AMALIA CASTRO,3,2013,Female,25,301
P.S. 142 AMALIA CASTRO,3,2013,Male,33,305
P.S. 142 AMALIA CASTRO,3,2014,Female,21,286
P.S. 142 AMALIA CASTRO,3,2014,Male,25,287
P.S. 142 AMALIA CASTRO,4,2013,Female,29,286
P.S. 142 AMALIA CASTRO,4,2013,Male,25,293
P.S. 142 AMALIA CASTRO,4,2014,Female,24,283
P.S. 142 AMALIA CASTRO,4,2014,Male,34,288
P.S. 142 AMALIA CASTRO,5,2013,Female,33,287
P.S. 142 AMALIA CASTRO,5,2013,Male,22,274
P.S. 142 AMALIA CASTRO,5,2014,Female,25,298
P.S. 142 AMALIA CASTRO,5,2014,Male,26,307
P.S. 142 AMALIA CASTRO,All Grades,2013,Female,87,291
P.S. 142 AMALIA CASTRO,All Grades,2013,Male,80,293
P.S. 142 AMALIA CASTRO,All Grades,2014,Female,70,289
P.S. 142 AMALIA CASTRO,All Grades,2014,Male,85,294
P.S. 184M SHUANG WEN,3,2013,Female,39,321
P.S. 184M SHUANG WEN,3,2013,Male,42,325
P.S. 184M SHUANG WEN,3,2014,Female,36,333
P.S. 184M SHUANG WEN,3,2014,Male,36,334
P.S. 184M SHUANG WEN,4,2013,Female,37,326
P.S. 184M SHUANG WEN,4,2013,Male,34,344
P.S. 184M SHUANG WEN,4,2014,Female,41,339
P.S. 184M SHUANG WEN,4,2014,Male,42,349
P.S. 184M SHUANG WEN,5,2013,Female,31,337
P.S. 184M SHUANG WEN,5,2013,Male,25,348
P.S. 184M SHUANG WEN,5,2014,Female,33,330
P.S. 184M SHUANG WEN,5,2014,Male,29,349
P.S. 184M SHUANG WEN,6,2013,Female,34,344
P.S. 184M SHUANG WEN,6,2013,Male,23,347
P.S. 184M SHUANG WEN,6,2014,Female,21,344
P.S. 184M SHUANG WEN,6,2014,Male,19,350
P.S. 184M SHUANG WEN,7,2013,Female,32,337
P.S. 184M SHUANG WEN,7,2013,Male,27,345
P.S. 184M SHUANG WEN,7,2014,Female,33,345
P.S. 184M SHUANG WEN,7,2014,Male,26,350
P.S. 184M SHUANG WEN,8,2013,Female,27,355
P.S. 184M SHUANG WEN,8,2013,Male,28,353
P.S. 184M SHUANG WEN,8,2014,Female,32,353
P.S. 184M SHUANG WEN,8,2014,Male,27,357
P.S. 184M SHUANG WEN,All Grades,2013,Female,200,336
P.S. 184M SHUANG WEN,All Grades,2013,Male,179,342
P.S. 184M SHUANG WEN,All Grades,2014,Female,196,340
P.S. 184M SHUANG WEN,All Grades,2014,Male,179,348
P.S. 188 THE ISLAND SCHOOL,3,2013,Female,19,269
P.S. 188 THE ISLAND SCHOOL,3,2013,Male,27,286
P.S. 188 THE ISLAND SCHOOL,3,2014,Female,30,288
P.S. 188 THE ISLAND SCHOOL,3,2014,Male,18,290
P.S. 188 THE ISLAND SCHOOL,4,2013,Female,17,274
P.S. 188 THE ISLAND SCHOOL,4,2013,Male,22,274
P.S. 188 THE ISLAND SCHOOL,4,2014,Female,19,276
P.S. 188 THE ISLAND SCHOOL,4,2014,Male,29,281
P.S. 188 THE ISLAND SCHOOL,5,2013,Female,16,259
P.S. 188 THE ISLAND SCHOOL,5,2013,Male,21,261
P.S. 188 THE ISLAND SCHOOL,5,2014,Female,19,271
P.S. 188 THE ISLAND SCHOOL,5,2014,Male,26,280
P.S. 188 THE ISLAND SCHOOL,6,2013,Female,30,286
P.S. 188 THE ISLAND SCHOOL,6,2013,Male,31,289
P.S. 188 THE ISLAND SCHOOL,6,2014,Female,22,295
P.S. 188 THE ISLAND SCHOOL,6,2014,Male,24,295
P.S. 188 THE ISLAND SCHOOL,7,2013,Female,34,279
P.S. 188 THE ISLAND SCHOOL,7,2013,Male,31,277
P.S. 188 THE ISLAND SCHOOL,7,2014,Female,33,291
P.S. 188 THE ISLAND SCHOOL,7,2014,Male,32,282
P.S. 188 THE ISLAND SCHOOL,8,2013,Female,30,294
P.S. 188 THE ISLAND SCHOOL,8,2013,Male,29,287
P.S. 188 THE ISLAND SCHOOL,8,2014,Female,33,293
P.S. 188 THE ISLAND SCHOOL,8,2014,Male,26,296
P.S. 188 THE ISLAND SCHOOL,All Grades,2013,Female,146,279
P.S. 188 THE ISLAND SCHOOL,All Grades,2013,Male,161,280
P.S. 188 THE ISLAND SCHOOL,All Grades,2014,Female,156,287
P.S. 188 THE ISLAND SCHOOL,All Grades,2014,Male,155,287
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2013,Female,4,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2013,Male,14,266
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2014,Female,4,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2014,Male,8,254
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2013,Female,8,282
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2013,Male,19,251
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2014,Female,4,s
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2014,Male,14,266
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2013,Female,13,232
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2013,Male,17,253
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2014,Female,10,267
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2014,Male,17,251
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2013,Female,25,250
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2013,Male,50,256
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2014,Female,18,267
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2014,Male,39,257
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2013,Female,13,254
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2013,Male,33,275
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2014,Female,22,267
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2014,Male,21,269
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2013,Female,24,289
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2013,Male,33,282
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2014,Female,12,268
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2014,Male,35,271
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2013,Female,21,286
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2013,Male,17,289
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2014,Female,23,287
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2014,Male,30,292
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2013,Female,58,280
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2013,Male,83,280
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2014,Female,57,275
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2014,Male,86,278
THE EAST VILLAGE COMMUNITY SCHOOL,3,2013,Female,17,295
THE EAST VILLAGE COMMUNITY SCHOOL,3,2013,Male,20,295
THE EAST VILLAGE COMMUNITY SCHOOL,3,2014,Female,9,305
THE EAST VILLAGE COMMUNITY SCHOOL,3,2014,Male,17,322
THE EAST VILLAGE COMMUNITY SCHOOL,4,2013,Female,8,315
THE EAST VILLAGE COMMUNITY SCHOOL,4,2013,Male,8,341
THE EAST VILLAGE COMMUNITY SCHOOL,4,2014,Female,16,327
THE EAST VILLAGE COMMUNITY SCHOOL,4,2014,Male,19,318
